ï»¿Estado ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,28,4,3,4,2,3,3,0,5,1,0,0,3
Baja California ,99,20,12,9,7,6,10,5,10,7,5,6,2
Baja California Sur ,160,8,8,9,13,18,27,13,9,24,8,21,2
Campeche ,110,4,8,7,9,14,14,6,15,9,9,5,10
Coahuila ,72,3,6,3,4,10,7,7,13,8,4,5,2
Colima ,32,2,2,3,8,3,5,3,4,1,1,0,0
Chiapas ,306,19,22,39,28,18,25,17,28,27,23,28,32
Chihuahua ,1201,7,17,29,150,231,340,63,94,71,75,76,48
Distrito Federal ,409,21,28,42,31,27,34,28,42,35,45,34,42
Durango ,59,2,2,13,7,9,4,1,6,1,3,5,6
Guanajuato ,152,5,13,12,8,6,49,5,14,7,11,15,7
Guerrero ,142,8,13,15,11,18,15,10,14,7,10,12,9
Hidalgo ,396,15,25,47,27,31,58,32,28,40,24,49,20
Jalisco ,2467,175,103,275,241,225,284,115,243,180,211,236,179
MÃ©xico ,299,22,24,26,21,18,42,24,31,22,38,19,12
MichoacÃ¡n ,314,12,17,36,15,29,25,16,40,22,37,40,25
Morelos ,129,4,7,31,5,13,3,5,20,8,9,18,6
Nayarit ,110,2,1,8,11,8,2,3,7,7,3,12,46
Nuevo LeÃ_n ,620,41,70,58,35,44,47,58,47,29,48,127,16
Oaxaca ,285,32,17,33,32,28,25,20,22,25,13,17,21
Puebla ,188,8,9,18,21,20,11,23,19,18,13,15,13
QuerÃ©taro ,69,3,4,8,7,7,11,12,1,7,5,2,2
Quintana Roo ,54,5,2,8,6,3,9,4,8,2,2,1,4
San Luis PotosÃ_ ,110,10,7,23,11,7,15,6,8,9,5,6,3
Sinaloa ,171,10,17,7,13,15,22,8,17,14,17,24,7
Sonora ,44,2,2,18,14,8,0,0,0,0,0,0,0
Tabasco ,166,8,9,25,12,11,24,20,24,18,7,6,2
Tamaulipas ,48,0,4,6,5,2,5,3,7,9,4,2,1
Tlaxcala ,118,1,6,5,8,13,9,5,17,22,10,9,13
Veracruz ,198,17,42,21,8,15,14,15,13,8,19,13,13
YucatÃ¡n ,106,6,16,10,9,10,14,10,8,4,6,9,4
Zacatecas ,239,11,20,15,22,26,21,14,26,22,7,31,24
T OTAL GLOBAL ,8901,487,536,863,801,896,1174,551,840,664,672,843,574
